filename, Alluvial, Black, Cinder, Clay, Laterite, Loamy, Peat, Red, Sandy, Yellow, loam
Copy-of-photo_2022-06-01_07-06-48_jpg.rf.664b822ea703960ae1aa256517ef36ac.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
aug_0_7292_jpg.rf.665fa8e84011bb1c3712103180392e27.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
OIP-BrlorKHI55G8GWp-2h3D3AHaE6_jpg.rf.665d4490473d14747f507e84409c9403.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
aug_0_4119_jpg.rf.6669b614055cb9ab6f9e68ea450f92a1.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Cinder_Soil_-7-_jpg.rf.666758fedc05849f0ba51c09ddbe6e08.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Copy-of-Sample1-180_jpg.rf.663fceaf5cb1e4ab93a2db58c1ad73f2.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
Copy-of-images415-1-_jpg.rf.661c149759ebcb3efb2e3109fdcc82ea.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
aug_0_4690_jpg.rf.663addd9f62155f70251b32908df6d1f.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
aug_0_8586_jpg.rf.6664d9464f597b497ddc9f264bab4b41.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Yellow_Soil_-27-_jpg.rf.666d5aed72576c09f5cba62716173cfc.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Yellow_Soil_-47-_jpg.rf.6615adf2b662bd53b46bb964959e4370.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
aug_0_9138_jpg.rf.662530c4ae1108d6308f79d66f8caa7c.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
red3_jpg.rf.661c415baa204681807aacc1ec49a885.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
aug_0_4759_jpg.rf.669a96e19287ef13a89b18ffbe677100.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Black_Soil_-23-_jpg.rf.669cb3a78b9a636cf985f539da012220.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
aug_0_1450_jpg.rf.6620a0948e2810d25283efc784430105.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
aug_0_9826_jpg.rf.6695bf025f4671ccefca05300021a9ed.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
Yellow_Soil_-17-_jpg.rf.667c3570db34bef65f4f751146ba46d9.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
aug_0_3399_jpg.rf.66b1bdfb593bb250efc983cd24095123.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Sample7-180_jpg.rf.66b9b725f289404ad8e055093c1e0b0d.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
aug_0_3867_jpg.rf.66e1e3835b73753992a357dfe6da4ff5.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Copy-of-clay-soil-close-up-brown-179039817_jpg.rf.66c345d012ab0345af5ef9e2656c76fc.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
cotton-black-soil-farm-india-260nw-1761431900_jpg.rf.66be1c71ab4f6e339cf607bc36596277.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
10_jpg.rf.66e2be914534dbe2e950e272bc3ec41a.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
aug_0_9080_jpg.rf.671509d64989b588b73b56de75f19040.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
loamy-9_jpg.rf.678265e2ea5c6486fa31b57801bc1f18.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
28_jpg.rf.6790a3a9006a72c56d32f6ae499c5642.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
Peat_Soil_-29-_jpg.rf.6775e3c2e9c66a8ddc239d7df178cdae.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Alluvial_18_png.rf.67a35b061c80d33d79cf79802f5020c0.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
aug_0_5955_jpg.rf.681c88a1334fc058f5fb3e8e7897fdb8.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
Copy-of-Sample10-0_jpg.rf.67299af4102f26b94fe0254f7c5bcf50.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
aug_0_5539_jpg.rf.68754f74b792197f8ec8946c11b1dd40.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
aug_0_7276_jpg.rf.67d1a54b385271d3e88dfd6e57122f37.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Copy-of-man-working-shovel-clay-260nw-639044377_png.rf.68607ba49c2c33fd1fb437136affbb53.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
aug_0_9287_jpg.rf.685667de2c67236b1940a4f2d874a18f.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
Yellow_Soil_-34-_jpg.rf.67d030ac9f7d3313ce9c9419eb4c7c04.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
aug_0_2833_jpg.rf.67f621530b8fc9d450585ab009c85e32.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Black_Soil_-69-_jpg.rf.6799c1137cc0a75903b496f18aa56f3b.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Copy-of-photo_2022-06-01_07-09-27_jpg.rf.68a58b557d98f87fcdac80171621cfe0.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
